case_id,success,翼根弦长,翼中弦长,翼尖弦长,翼根扭转角,翼中扭转角,翼尖扭转角,T_N,P_kW,eta_%,CT,CP,J
12,True,307.787182237276,303.4139670659852,229.8241780863036,32.22097069617182,15.18046989938158,-8.670262056945429,-29071.884091063355,-2208.2149199587566,100.0,-0.16078246831801024,-0.2422214643659118,1.53116880538029
999,True,462.8966590852982,257.95372597103784,229.19964786134105,46.87104456043579,19.061508930155604,-9.45506554241692,-28737.648392519975,-2206.1372990347627,100.0,-0.15893397303495707,-0.24199356789711315,1.53116880538029
998,True,438.29012611856285,309.087435835516,228.6943923495046,38.41117731615897,10.03190415496,4.000628415121678,-30823.935193974987,-2371.0005400587415,100.0,-0.170472211853828,-0.26007759373173805,1.53116880538029
997,True,302.916944978908,293.6490338177376,239.95602548541177,35.676651244204706,19.29118619521788,1.4610967809114896,-29009.702874919432,-2201.340683937939,100.0,-0.1604385742180159,-0.24146742203954688,1.53116880538029
3,True,364.5257629119484,347.5243753907066,242.62902047019497,46.69307844013129,17.778600414240472,4.218386533808829,-32381.659560140506,-2484.604897136308,100.0,-0.1790872286090781,-0.27253897757665385,1.53116880538029
962,True,342.78495325325207,296.18164353063946,226.9968418557568,39.92583004902262,11.51380725088646,0.3098350634082916,-29030.45554922043,-2209.6019856324224,100.0,-0.16055334717830505,-0.24237361308821698,1.53116880538029
963,True,379.0105505177284,328.9246910075496,244.5025001576284,37.53950175610835,16.575212407960677,-2.8951961259125323,-31771.390011965563,-2436.1734462244194,100.0,-0.17571212419590918,-0.2672264797508252,1.53116880538029
951,True,422.68900704910527,318.99693612679044,241.43495500231165,36.46488112594123,20.33977276418489,-3.361069306828908,-31677.938437832578,-2436.1476573731143,100.0,-0.17519528893644543,-0.26722365094404965,1.53116880538029
955,True,323.9539449356736,313.2117154093842,274.3395656879086,36.00011886885343,12.974041092877911,2.1304068354287384,-31718.73466629313,-2420.52683750935,100.0,-0.17542091305799898,-0.26551018644935825,1.53116880538029
942,True,388.9966027623893,306.357251741986,251.59386017171323,37.29571695546738,14.459230836965244,4.966397821556082,-31154.78506026702,-2386.1502632496904,100.0,-0.17230198174347436,-0.2617393831268203,1.53116880538029
948,True,373.1807176361588,344.7337050510067,239.01976033623237,40.5826592461883,23.84150700368484,3.375248559956656,-32192.39216182944,-2470.8427657649063,100.0,-0.17804048257166064,-0.2710293946173832,1.53116880538029
937,True,468.9032649079851,266.3017177159184,252.8037190902864,47.118706642160525,22.609910962114085,-2.263322189854275,-30254.472852052186,-2327.21442324017,100.0,-0.16732279227504507,-0.2552746475878504,1.53116880538029
62,True,440.58924346094005,310.4416267202353,226.81320906629705,40.65283238542359,18.731876093248697,-2.937129304576149,-30828.676082730406,-2372.131113587636,100.0,-0.17049843140649718,-0.260201607555423,1.53116880538029
63,True,354.7535056483248,312.58543777553416,226.78325402896203,46.74854915689271,17.842765417451183,-5.407044862372944,-29929.746381091296,-2284.468055274459,100.0,-0.16552688791034179,-0.2505857526114628,1.53116880538029
56,True,328.8394239797975,316.2973962147394,235.67079231829587,36.16731446270847,11.476471076492002,1.0897013374612428,-30191.29857249594,-2301.086881095583,100.0,-0.16697340602372923,-0.2524086894506496,1.53116880538029
58,True,410.153948435394,306.54071108810984,231.53429436974108,30.51665097394442,24.28127677559131,-2.872149882377033,-30510.0814877049,-2339.807567543411,100.0,-0.1687364394688393,-0.25665600310108966,1.53116880538029
60,True,428.9605449160025,309.14584971594513,303.0009714995276,42.87528428638693,20.15780740899583,-1.01035358088199,-34043.149349933024,-2623.8635904158646,100.0,-0.1882761215150639,-0.2878144130910954,1.53116880538029
46,True,388.5590909826108,315.57988384973174,244.21459990412177,33.750430782037675,12.205771060046946,-9.07373172055686,-31248.974476749754,-2394.817038470499,100.0,-0.17282289765054426,-0.2626900510017361,1.53116880538029
48,True,316.7103150496654,316.0435461108416,271.8432003125156,30.33554561154689,17.622675660407502,3.764249383548108,-31651.54970312681,-2414.47550026532,100.0,-0.17504934566395255,-0.2648464087729316,1.53116880538029
37,True,396.2446727662444,305.76301368053663,291.31749565834383,33.78219656230754,14.790139368394552,-5.662813083981998,-32987.603746989815,-2532.769661870513,100.0,-0.18243841154993642,-0.27782222230945225,1.53116880538029
44,True,417.848855592749,293.7044717813381,216.16821825367632,32.19055492365159,21.22367707072771,4.28131964380475,-29310.752071933002,-2245.7986320041014,100.0,-0.16210353108250328,-0.24634406207397372,1.53116880538029
926,True,387.0652712521827,381.4735672646498,216.7085990033281,31.479718528750897,21.314570677689595,-3.792464591770497,-33058.889100768894,-2548.8250741498473,100.0,-0.18283265621256722,-0.2795833577126001,1.53116880538029
930,True,360.5168738885176,298.39902390990096,261.6751114171673,36.097806068240914,23.18947894254775,2.163757970750627,-30898.904876338336,-2359.6881787243997,100.0,-0.17088683274807895,-0.2588367286768585,1.53116880538029
6,True,439.1985776998196,300.5700577999445,258.9385513754106,32.18283970551257,19.614244014719443,4.276109985267363,-31792.625224003463,-2446.06090187266,100.0,-0.1758295658380131,-0.26831104537182665,1.53116880538029
909,True,366.637858873259,300.6052621956405,297.7969628452764,49.03797746118569,18.93187097821196,3.2038780750064006,-32688.885940437853,-2503.172269011171,100.0,-0.18078634847354536,-0.27457565252360144,1.53116880538029
910,True,497.73713854342935,261.2786435646357,236.604020952052,40.23431571081348,10.61564227686801,-5.643831637266849,-29614.66776015179,-2283.614398212726,100.0,-0.16378434111735768,-0.25049211405224,1.53116880538029
913,True,476.927858041189,258.6936339322543,250.5291609485817,34.255487959454896,19.900207088726155,-9.159284984411912,-29887.044602343085,-2299.3782680538793,100.0,-0.16529072511582868,-0.2522212698524685,1.53116880538029
300,True,356.1139814353264,338.9686525406382,286.40661151237146,39.8129019191832,11.340401731352546,-2.4914070112605344,-33841.09299139849,-2597.810020187617,100.0,-0.1871586459512934,-0.2849565690127825,1.53116880538029
384,True,341.414391714929,278.5436872271923,268.1552352025409,44.83705949947744,22.512109701822204,4.8698353198714734,-30032.609219654172,-2285.911167268902,100.0,-0.16609577230154712,-0.25074404911484144,1.53116880538029
373,True,300.1374809862442,275.2279352001572,213.6009903147235,39.05913488957678,24.848548562880808,-8.867476969007615,-26929.05776134466,-2036.2476479268637,100.0,-0.14893153683418178,-0.2233581897461777,1.53116880538029
378,True,349.6496233902405,254.65124878727443,241.04177393512188,34.712868185212635,24.32140049960656,0.5111031819395588,-27796.651190235665,-2109.1854685632916,100.0,-0.15372977462835563,-0.23135881756665438,1.53116880538029
366,True,434.3771735594338,290.5515219684173,275.78344085061065,38.860777085429305,24.969668059783523,4.751916384431153,-32024.185895432798,-2462.0169123364285,100.0,-0.17711021542374908,-0.2700612772831499,1.53116880538029
367,True,415.3342485930172,287.30076604241594,237.57492621818477,44.80711172398837,21.684720688820263,-0.2395475008400787,-29942.853655234205,-2293.5878605280936,100.0,-0.16559937787635215,-0.2515861138368587,1.53116880538029
358,True,487.4559261404808,286.41438791457347,215.5934762028685,43.73573000976111,18.68380764043885,-2.313890577909529,-29730.601805720056,-2293.9012963826463,100.0,-0.16442551600475647,-0.25162049495211525,1.53116880538029
314,True,367.6926137371928,343.83552796072627,248.6322571788469,34.26725471348273,19.00959804568051,1.8112401451788376,-32516.604653046295,-2495.267518497931,100.0,-0.1798335443640816,-0.2737085719566429,1.53116880538029
316,True,340.5423261169619,325.39439944552936,268.6714232718682,44.57901934862743,11.41794948226769,0.3048353771284517,-32232.46357994352,-2465.3610241849683,100.0,-0.17826209811928745,-0.27042809650062527,1.53116880538029
301,True,471.628168299232,269.4814477943543,226.3951414261105,34.21002332438623,16.717979796181645,-7.204626600629921,-29249.378614831578,-2249.768228404916,100.0,-0.16176410430537844,-0.24677949136324095,1.53116880538029
303,True,455.2081993142331,275.52295621334326,216.73817866414376,38.98050635765301,18.23653764799759,-1.4212490906167154,-28913.20682943253,-2220.5592699719177,100.0,-0.15990490146644215,-0.243575529366473,1.53116880538029
306,True,356.4608922919965,288.7375331428972,252.77954092378891,49.053655264717776,20.294294338806843,-7.990836189562229,-30001.164508477937,-2287.0563119250337,100.0,-0.16592186687929703,-0.2508696612611103,1.53116880538029
294,True,432.7796573751618,312.3780327776814,260.3919826241955,39.01140163419221,24.586591809668853,4.7499744150399295,-32333.86880140072,-2489.0699510148083,100.0,-0.178822921138365,-0.27302875412835986,1.53116880538029
295,True,414.25252798575536,342.95292446834515,274.44372066576955,46.31016401861253,14.769122439287306,-1.6282523094430204,-34169.96127423868,-2635.3804858901353,100.0,-0.18897745666548466,-0.2890777137152842,1.53116880538029
298,True,410.687349252356,351.3617728644116,231.09099565639917,36.6520477432615,23.19681727972865,2.9031376073147417,-32580.262229603,-2510.1646910738937,100.0,-0.18018560349633014,-0.2753426588037369,1.53116880538029
390,True,391.84384487695627,370.5208152294471,258.23316365108707,33.76150223856983,19.796664611759773,4.321894454462557,-34464.83406276201,-2658.8513976792046,100.0,-0.1906082548149988,-0.2916522632177655,1.53116880538029
391,True,356.40819576054525,310.2504350302542,262.6796215079153,30.41395879896727,24.33236397499521,2.3660255227698954,-31448.181329812665,-2403.9021562632042,100.0,-0.17392461398378883,-0.26368660732231697,1.53116880538029
395,True,303.5415338156573,303.5304374716492,230.9607855181815,44.91252799384003,13.047917386553609,4.336573316262903,-29076.42144786244,-2207.9459857450265,100.0,-0.16080756223430104,-0.24219196468339493,1.53116880538029
319,True,393.7196818778612,317.7899440890882,271.6933961594866,37.439505273697165,17.695645326493786,-9.035168787672475,-32641.310739548957,-2506.19388679847,100.0,-0.18052323314859148,-0.2749070970214075,1.53116880538029
324,True,370.8547984832908,274.2748865179332,223.91782517276965,33.92433941594973,16.015955149652907,3.561294184559607,-28201.53934467751,-2146.970856012139,100.0,-0.15596901432331214,-0.23550353726615905,1.53116880538029
309,True,337.8382922983003,250.44991353542704,238.15336072351036,34.75199102925693,22.82843062217386,-9.381038808389208,-27327.52871952611,-2070.1722345926214,100.0,-0.15113528613397864,-0.22707941406447982,1.53116880538029
446,True,407.5178271927799,356.78093081144226,211.2835413838532,38.71258293546819,18.57062332620301,-4.799245815535561,-31908.171510291122,-2457.815470746264,100.0,-0.17646859621719724,-0.26960041664625295,1.53116880538029
444,True,324.1392649387867,281.2527035146103,249.91981651028712,31.69374795715325,24.52088545590556,-5.355752633447466,-29134.190781185487,-2212.7576597863026,100.0,-0.16112705635362506,-0.24271976237273898,1.53116880538029
435,True,441.9416004466707,256.3325265681464,246.24300870805743,36.75872536425147,23.674456923024195,-4.226041770723701,-29188.901872340204,-2236.2785008411583,100.0,-0.16142963682115422,-0.24529978866996707,1.53116880538029
