case_id,success,翼根弦长,翼中弦长,翼尖弦长,翼根扭转角,翼中扭转角,翼尖扭转角,T_N,P_kW,eta_%,CT,CP,J
1,True,473.9517606686522,447.0520533583473,320.4964439498431,45.98933997511115,15.39982040505689,0.1124858554115082,-41678.81370862848,-3272.1338411000706,98.33352101588794,-0.23050527181689448,-0.3589238725944837,1.53116880538029
2,True,517.4200592635718,289.5141713733716,214.9572693823513,42.19736241087929,11.648437667838667,4.127705503126201,-30175.715072595936,-2337.08408500914,99.67827938014891,-0.1668872212559616,-0.2563572613791388,1.53116880538029
3,True,364.5257629119484,347.5243753907066,242.62902047019497,46.69307844013129,17.778600414240472,4.218386533808829,-32381.659560140506,-2484.604897136308,100.0,-0.1790872286090781,-0.27253897757665385,1.53116880538029
4,True,411.78049103329386,401.5033163507153,231.64556119862303,46.99471156759584,13.455241273788808,-3.026662300519283,-34936.65251248599,-2706.483089572965,99.6536643570707,-0.19321765345964725,-0.2968770346186163,1.53116880538029
5,True,535.9850276943945,421.0579874651502,264.50044979791176,47.76174119342021,20.380360353726395,-7.010382308327033,-38667.45431122124,-3039.1511096259137,98.22241030962485,-0.21385090585316235,-0.33336774674841146,1.53116880538029
6,True,439.1985776998196,300.5700577999445,258.9385513754106,32.18283970551257,19.614244014719443,4.276109985267363,-31792.625224003463,-2446.06090187266,100.0,-0.1758295658380131,-0.26831104537182665,1.53116880538029
7,True,425.4313645383583,413.7971182730828,317.9726410101494,31.73165327318733,19.3703380639838,-5.610243387133022,-39504.74856863275,-3078.3223982407617,99.07235808833305,-0.21848157364866652,-0.33766448743412586,1.53116880538029
8,True,553.4902296873656,360.5274665670063,321.52399678951974,33.20806366521216,13.398318079069613,-1.2542146645438823,-38612.63534996176,-3028.2791071417546,98.43529422327822,-0.21354772880848508,-0.33217518512838945,1.53116880538029
9,True,426.4500104093805,405.1025370103928,354.5109972831005,35.22530882339581,15.00016218516,-9.892783047988251,-40738.20872193211,-3178.164847090397,98.95615440503003,-0.2253032425641788,-0.3486163127966177,1.53116880538029
10,True,474.11706517451177,369.3617664013727,353.7659900767975,35.02018216973329,23.462758661452987,-6.801376953244688,-39594.76133662961,-3089.8253496981743,98.9284256952063,-0.2189793905419005,-0.33892625852414116,1.53116880538029
11,True,486.4700209778774,403.0981816489596,311.6296557889205,34.675906172053814,21.765065867429087,4.11068898113928,-39409.37187348642,-3082.375673740041,98.70320268073012,-0.2179540914800666,-0.33810909557350577,1.53116880538029
12,True,307.787182237276,303.4139670659852,229.8241780863036,32.22097069617182,15.18046989938158,-8.670262056945429,-29071.884091063355,-2208.2149199587566,100.0,-0.16078246831801024,-0.2422214643659118,1.53116880538029
13,True,528.0390302040989,314.2544746085151,220.89302226919892,36.6977132220411,14.129100137548877,3.316874429602791,-31707.393739869556,-2463.9947376570426,99.34318281237479,-0.17535819190316485,-0.2702782270651159,1.53116880538029
14,True,480.3382141031792,371.628439022214,260.5752236742236,36.73978908429218,23.49121295383064,-3.3308228296724787,-35619.37296672349,-2770.666338775154,99.24744652749065,-0.19699344863892293,-0.3039173641033056,1.53116880538029
15,True,494.0396550012794,451.2560018711506,333.6591902560889,38.09456770304644,15.28470680160946,-7.194319475546104,-42673.29825514373,-3359.2172662504026,98.0698288972038,-0.23600528274126353,-0.36847614695476505,1.53116880538029
16,True,424.6067505769951,344.22360397847024,277.1106916082722,38.20179489307627,24.496332124441224,-8.63361988754529,-34466.186588531826,-2661.329288886739,99.97972125229543,-0.19061573497799933,-0.29192406576352475,1.53116880538029
17,True,539.1973307630906,379.62158605489833,345.7754920413539,30.81284910855536,15.353936670601785,-1.371044489288117,-40416.71744343917,-3174.062134911258,98.30212686497205,-0.22352523047741843,-0.34816628189476984,1.53116880538029
18,True,482.1728489919176,379.8363959403074,281.53459729282264,31.673679061468395,14.944031756038084,-4.011299894653812,-36953.15680312384,-2879.164150567926,99.08374639349546,-0.20436995911025613,-0.31581860551572805,1.53116880538029
19,True,528.5181988517481,426.2347156192446,313.5284461450531,30.55421416336036,21.577778301480453,-2.780065027843297,-41006.785824594306,-3227.04997764057,98.09962311067997,-0.22678861204915834,-0.3539785752288464,1.53116880538029
20,True,408.6440622218929,338.715285323226,301.8259693134052,39.50736753342368,14.030632327344165,0.4626637359298993,-35130.59175985532,-2710.5294998885574,100.0,-0.19429023722470717,-0.2973208897086301,1.53116880538029
21,True,412.483766636422,353.9194481979231,327.6825899213955,44.98890425752269,16.83462482462561,-0.1232383467746487,-37029.729447956764,-2866.3852601491926,99.7317127298328,-0.20479344521123644,-0.3144168753117428,1.53116880538029
22,True,363.1078322481028,346.2552599588671,266.2354271992508,46.48550957063605,16.610965105765302,2.923418006886872,-33361.47480351997,-2561.7737995671278,100.0,-0.18450611074388232,-0.28100371729983825,1.53116880538029
23,True,403.0628390826582,313.63384682606227,265.9508241690733,32.468612401503215,21.711027110049223,-5.522048364829431,-32299.484787885223,-2480.3368481182956,100.0,-0.1786327598627358,-0.27207081069951505,1.53116880538029
24,True,429.53268519039386,251.51023118291772,218.614224817244,36.336744649869104,16.028165896468536,4.77136583229221,-27581.094752008412,-2107.7373392012014,100.0,-0.15253763668189657,-0.23119997070283402,1.53116880538029
25,True,546.3079125634071,350.7368116807284,311.5459045145764,36.54818567230316,14.615791474260714,-4.039903566136035,-37641.69673470346,-2946.3675114745392,98.62785197712154,-0.20817793899171538,-0.3231902142943766,1.53116880538029
26,True,545.3361551142136,423.8994893221327,329.19133064381344,36.01930792881551,22.591542252323507,3.08497204783939,-41773.39536879238,-3293.7613568309544,97.90952570934192,-0.2310283570332201,-0.36129621800506057,1.53116880538029
27,True,464.3031879425134,450.14023610272113,280.67642280751187,44.63328309426439,14.478019496286905,-8.106025688114096,-39944.80887275321,-3129.559718359729,98.53588116199312,-0.22091533341750832,-0.3432847640644608,1.53116880538029
28,True,471.5346420171288,471.0814198066082,305.6918598826573,36.00412893834492,13.591781766983445,-8.187430695588368,-42091.428718820025,-3310.050667022309,98.16944282656827,-0.23278724499743736,-0.36308300992119075,1.53116880538029
29,True,359.01401844007364,266.9327909687149,263.605019073054,44.1885081394301,12.99112817168974,4.597626637886204,-29496.515680436853,-2245.3694583884094,100.0,-0.16313089936057407,-0.24629698555949114,1.53116880538029
30,True,529.9039448933557,361.952131414376,213.4867025465662,40.8843823941146,15.53325348704957,-6.378409135991003,-33604.442845130114,-2622.9077317424258,98.90790119104376,-0.1858498489525965,-0.2877095639274046,1.53116880538029
31,True,414.1028345228173,329.3425476506643,270.07796425852,41.24657486467959,17.91230238117825,-8.794076228760247,-33341.67045515545,-2567.4401864173547,100.0,-0.18439658251366844,-0.2816252693544505,1.53116880538029
32,True,487.0958317785633,408.6319146988527,238.11349202648933,48.37605243825491,15.539971916854984,-9.457765025422662,-36394.00168877482,-2841.6924741766943,98.87125211138232,-0.2012775438001211,-0.3117082971187993,1.53116880538029
33,True,453.2361782324633,336.04985872211284,306.9918016532544,43.69792475697135,16.171458601515702,3.969001689953824,-35744.29314658404,-2768.684532969008,99.66680559150497,-0.19768432146979265,-0.30369997769760987,1.53116880538029
34,True,370.7004435248849,351.20000909916,282.0148958146821,42.86924678575224,14.163098106039588,-0.2484242701418271,-34384.83290414651,-2645.4191566651093,100.0,-0.19016580726979634,-0.290178866285817,1.53116880538029
