E:/5-3D models/1-闲鱼订单/XV-15桨叶总成/翼型数据/NACA64-118.dat
69.421	0	-4.367
70.394	0	-4.186
71.37	0	-4.004
72.347	0	-3.822
73.325	0	-3.639
74.302	0	-3.457
75.276	0	-3.275
76.247	0	-3.095
77.213	0	-2.916
78.176	0	-2.74
79.133	0	-2.566
80.086	0	-2.395
81.033	0	-2.226
81.974	0	-2.062
82.91	0	-1.901
83.841	0	-1.744
84.766	0	-1.591
85.684	0	-1.443
86.594	0	-1.299
87.497	0	-1.161
88.391	0	-1.029
89.273	0	-0.902
90.145	0	-0.782
91.002	0	-0.67
91.844	0	-0.564
92.668	0	-0.466
93.471	0	-0.377
94.25	0	-0.296
95.005	0	-0.224
95.731	0	-0.161
96.425	0	-0.108
97.087	0	-0.064
97.714	0	-0.031
98.309	0	-0.008
98.873	0	0.005
99.408	0	0.011
99.75	0	0.01

